City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Kasongo-Lunda,CD,-6.4667,16.8167,71.37,35,72,1.88,broken clouds
85,Constitucion,CL,-35.3333,-72.4167,49.66,63,0,11.61,clear sky
86,Ardakan,IR,32.31,54.0175,88.18,16,8,6.67,clear sky
87,Ossora,RU,59.2353,163.0719,62.62,93,100,8.32,light rain
88,Cidreira,BR,-30.1811,-50.2056,61.92,97,100,5.7,heavy intensity rain
89,Zeya,RU,53.75,127.2667,68.07,78,45,4.18,scattered clouds
90,Airai,TL,-8.9266,125.4092,55.54,57,18,3.09,few clouds
91,Freeport,US,40.6576,-73.5832,91.38,54,40,1.01,scattered clouds
92,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,14.97,scattered clouds
93,Kamsack,CA,51.5667,-101.9009,79.25,23,15,9.51,few clouds
94,Bengkulu,ID,-3.8004,102.2655,73.63,76,2,4.52,clear sky
95,Port Lincoln,AU,-34.7333,135.8667,55.11,48,44,23.2,scattered clouds
96,Oskemen,KZ,49.9565,82.6119,62.65,95,98,4.85,overcast clouds
97,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.6,81,0,17.49,clear sky
98,Pontes E Lacerda,BR,-15.2261,-59.3353,83.62,34,1,3.76,clear sky
99,Victoria,HK,22.2855,114.1577,86.38,88,96,5.99,overcast clouds
100,Dhidhdhoo,MV,6.8833,73.1,81.12,80,100,12.24,overcast clouds
101,Cabo San Lucas,MX,22.8909,-109.9124,95.81,66,1,11.5,clear sky
102,Vostok,RU,46.4856,135.8833,76.71,78,72,1.21,light rain
103,Provideniya,RU,64.3833,-173.3,48.31,87,90,6.71,overcast clouds
104,Ancud,CL,-41.8697,-73.8203,45.93,73,63,7.61,broken clouds
105,Clyde River,CA,70.4692,-68.5914,37.63,100,90,11.5,overcast clouds
106,Boa Vista,BR,2.8197,-60.6733,85.98,66,75,4.61,broken clouds
107,Dalby,AU,-27.1833,151.2667,51.67,55,0,3.36,clear sky
108,Dukat,RU,62.55,155.55,47.17,92,100,4.85,overcast clouds
109,Yulara,AU,-25.2406,130.9889,40.84,56,26,0.0,scattered clouds
110,Yellowknife,CA,62.456,-114.3525,70.32,60,75,8.05,broken clouds
111,Progreso,MX,21.2833,-89.6667,82.51,64,56,10.58,broken clouds
112,Bethel,US,41.3712,-73.414,87.73,60,1,1.01,haze
113,Vidim,RU,56.4088,103.1106,61.47,67,4,1.7,clear sky
114,Waipawa,NZ,-41.4122,175.5153,50.63,71,60,9.51,moderate rain
115,Nemuro,JP,43.3236,145.575,60.35,99,100,14.83,light rain
116,Khatanga,RU,71.9667,102.5,59.02,67,49,16.8,scattered clouds
117,Ribeira Grande,PT,38.5167,-28.7,70.86,89,9,14.2,clear sky
118,Wanaka,NZ,-44.7,169.15,40.15,89,84,2.95,broken clouds
119,Moses Lake,US,47.1301,-119.2781,97.16,15,1,10.36,smoke
120,Amot,NO,59.5714,7.9877,60.76,97,99,2.1,moderate rain
121,Bredasdorp,ZA,-34.5322,20.0403,58.32,47,100,4.61,overcast clouds
122,Letlhakeng,BW,-24.0944,25.0298,44.38,50,0,7.47,clear sky
123,Londa,IN,15.4691,74.5191,68.49,97,88,7.9,overcast clouds
124,Souillac,MU,-20.5167,57.5167,68.38,94,75,11.5,light intensity shower rain
125,Tukrah,LY,32.5341,20.5791,77.97,69,0,21.5,clear sky
126,Krasnovishersk,RU,60.4078,57.082,54.72,99,100,6.8,overcast clouds
127,Krasnogorskoye,RU,52.2953,86.1979,61.14,98,46,4.32,scattered clouds
128,Pisco,PE,-13.7,-76.2167,68.05,73,0,18.41,clear sky
129,Buraydah,SA,26.326,43.975,97.25,14,45,12.55,scattered clouds
130,San Policarpo,PH,12.1791,125.5072,80.38,82,100,8.86,overcast clouds
131,Tasiilaq,GL,65.6145,-37.6368,50.16,87,47,2.44,scattered clouds
132,Pangnirtung,CA,66.1451,-65.7125,46.4,100,75,8.05,fog
133,Warka,PL,51.7843,21.1909,70.68,88,3,6.55,clear sky
134,Vestmannaeyjar,IS,63.4427,-20.2734,50.85,82,100,13.67,overcast clouds
135,Boguchany,RU,58.3814,97.4531,63.61,67,96,3.8,overcast clouds
136,Griffith,US,41.5284,-87.4237,95.05,29,1,1.99,clear sky
137,Nantucket,US,41.2835,-70.0995,82.96,88,20,10.36,few clouds
138,Khani,GE,41.9563,42.9566,63.97,99,91,1.1,overcast clouds
139,Sobolevo,RU,54.4299,31.8996,66.43,67,88,6.42,overcast clouds
140,Ahipara,NZ,-35.1667,173.1667,57.0,72,18,17.47,few clouds
141,Sangar,RU,63.9242,127.4739,66.04,64,10,12.48,clear sky
142,Noumea,NC,-22.2763,166.4572,71.01,99,100,13.27,overcast clouds
143,Kapoeta,SS,4.7717,33.5903,73.29,60,94,1.54,overcast clouds
144,New Norfolk,AU,-42.7826,147.0587,49.91,82,100,4.07,overcast clouds
145,Rassvet,RU,46.8333,40.75,76.46,53,65,2.24,broken clouds
146,Hilo,US,19.7297,-155.09,78.53,86,90,11.5,light rain
147,Jamestown,US,42.097,-79.2353,81.3,44,1,8.05,clear sky
148,Tiksi,RU,71.6872,128.8694,38.41,88,77,10.29,broken clouds
149,Sibolga,ID,1.7427,98.7792,76.77,87,82,2.53,broken clouds
150,Nouadhibou,MR,20.931,-17.0347,69.78,88,0,25.32,clear sky
151,Sao Filipe,CV,14.8961,-24.4956,75.38,82,24,10.38,few clouds
152,Narsaq,GL,60.9167,-46.05,59.22,69,20,4.68,few clouds
153,Namibe,AO,-15.1961,12.1522,66.15,81,0,1.05,clear sky
154,Maridi,SS,4.9158,29.4742,66.83,98,99,3.69,light rain
155,Pringsewu,ID,-5.3582,104.9744,68.16,94,4,2.17,clear sky
156,Port Hardy,CA,50.6996,-127.4199,62.78,82,75,12.66,light rain
157,Mbour,SN,14.422,-16.9638,81.45,78,62,14.65,broken clouds
158,Hay River,CA,60.8156,-115.7999,71.58,56,75,3.44,broken clouds
159,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,75,11.5,light intensity shower rain
160,Ola,RU,59.5833,151.2833,55.58,94,100,2.86,light rain
161,Severo-Kurilsk,RU,50.6789,156.125,59.83,90,100,6.91,overcast clouds
162,Luangwa,ZM,-15.6167,30.4167,57.43,75,28,3.27,scattered clouds
163,Gushikawa,JP,26.3544,127.8686,81.63,94,75,12.66,broken clouds
164,Inhambane,MZ,-23.865,35.3833,65.5,67,56,9.08,broken clouds
165,Charlestown,AU,-32.95,151.6667,56.73,73,5,5.99,clear sky
166,Miri,MY,4.4148,114.0089,78.94,94,40,6.91,scattered clouds
167,Wawa,NG,9.9022,4.4192,76.82,74,100,8.86,overcast clouds
168,Haines Junction,CA,60.7522,-137.5108,55.35,76,100,1.14,light rain
169,Hays,US,30.0502,-98.0336,100.85,42,0,4.0,clear sky
170,Rio Gallegos,AR,-51.6226,-69.2181,39.25,87,90,28.77,light rain
171,Deputatskiy,RU,69.3,139.9,42.96,86,100,3.47,light rain
172,Khasan,RU,42.4308,130.6434,72.48,88,74,3.38,broken clouds
173,Port Augusta,AU,-32.5,137.7667,58.71,45,20,21.9,few clouds
174,Victoria Point,AU,-27.5833,153.3,57.18,76,0,5.3,clear sky
175,Mar Del Plata,AR,-38.0023,-57.5575,43.12,74,40,3.0,scattered clouds
176,North Bend,US,43.4065,-124.2243,77.23,76,90,25.32,overcast clouds
177,Vila Velha,BR,-20.3297,-40.2925,73.35,83,40,6.91,scattered clouds
178,Navahrudak,BY,53.6,25.8333,63.64,81,86,9.86,moderate rain
179,Juegang,CN,32.3174,121.1855,77.97,95,100,27.74,light rain
180,Baoqing,CN,46.3317,132.2111,80.71,65,94,3.44,overcast clouds
181,San Patricio,US,28.017,-97.5169,95.72,41,5,12.75,clear sky
