City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Juan,AR,2021-07-24 15:40:39,-31.5375,-68.5364,55.89,36,49,3.78
68,Ribeira Grande,PT,2021-07-24 15:33:26,38.5167,-28.7,77.4,73,40,13.8
69,Nanortalik,GL,2021-07-24 15:32:37,60.1432,-45.2371,43.77,96,100,11.83
70,Mexico,PH,2021-07-24 15:42:14,15.0646,120.7198,82.47,90,100,9.84
71,Longyearbyen,SJ,2021-07-24 15:33:17,78.2186,15.6401,46.24,76,75,6.91
72,Taree,AU,2021-07-24 15:42:15,-31.9,152.4667,56.07,57,2,5.75
73,Atuona,PF,2021-07-24 15:32:29,-9.8,-139.0333,77.88,68,99,15.79
74,Caravelas,BR,2021-07-24 15:34:12,-17.7125,-39.2481,75.94,63,36,10.29
75,Kapaa,US,2021-07-24 15:33:14,22.0752,-159.319,79.12,83,90,3.0
76,Busselton,AU,2021-07-24 15:32:29,-33.65,115.3333,56.08,74,99,15.43
77,Wanning,CN,2021-07-24 15:40:40,18.8003,110.3967,79.48,88,57,8.19
78,Poronaysk,RU,2021-07-24 15:42:16,49.2167,143.1167,64.76,97,96,2.06
79,Manado,ID,2021-07-24 15:42:17,1.487,124.8455,77.77,83,40,0.0
80,Fort Saint James,CA,2021-07-24 15:42:17,54.4333,-124.25,59.07,62,98,2.66
81,Maragogi,BR,2021-07-24 15:42:18,-9.0122,-35.2225,78.98,64,15,13.53
82,De Aar,ZA,2021-07-24 15:42:18,-30.6497,24.0123,45.93,17,0,8.5
83,Abu Dhabi,AE,2021-07-24 15:30:27,24.4667,54.3667,102.31,59,36,10.36
84,Ixtapa,MX,2021-07-24 15:33:23,20.7,-105.2,80.22,89,90,5.75
85,Strezhevoy,RU,2021-07-24 15:42:19,60.7333,77.5889,73.38,85,44,10.16
86,Burnie,AU,2021-07-24 15:42:19,-41.0667,145.9167,43.92,85,98,18.41
87,Cape Town,ZA,2021-07-24 15:30:22,-33.9258,18.4232,63.1,38,0,5.75
88,Iqaluit,CA,2021-07-24 15:29:52,63.7506,-68.5145,49.73,66,75,18.99
89,Yaan,NG,2021-07-24 15:34:09,7.3833,8.5667,80.28,71,64,6.91
90,Mahebourg,MU,2021-07-24 15:32:44,-20.4081,57.7,70.09,73,20,9.22
91,Lebu,CL,2021-07-24 15:34:02,-37.6167,-73.65,51.82,74,21,9.22
92,Mucurapo,TT,2021-07-24 15:42:20,10.6667,-61.5333,84.25,69,100,4.45
93,Provideniya,RU,2021-07-24 15:33:57,64.3833,-173.3,46.94,98,100,11.12
94,Port Elizabeth,ZA,2021-07-24 15:32:54,-33.918,25.5701,59.29,51,0,8.05
95,Comodoro Rivadavia,AR,2021-07-24 15:42:21,-45.8667,-67.5,49.86,43,0,5.75
96,Saint-Philippe,RE,2021-07-24 15:34:27,-21.3585,55.7679,71.15,81,60,6.64
97,Kruisfontein,ZA,2021-07-24 15:40:19,-34.0033,24.7314,56.88,45,1,7.38
98,Road Town,VG,2021-07-24 15:40:05,18.4167,-64.6167,80.2,81,84,23.15
99,Fort Nelson,CA,2021-07-24 15:41:16,58.8053,-122.7002,58.59,77,75,3.44
100,Mar Del Plata,AR,2021-07-24 15:30:00,-38.0023,-57.5575,54.0,64,0,11.99
101,Kailua,US,2021-07-24 15:38:04,21.4022,-157.7394,78.78,77,90,11.5
102,Vostok,RU,2021-07-24 15:32:45,46.4856,135.8833,72.05,78,77,4.21
103,Yuxia,CN,2021-07-24 15:42:23,34.0615,108.6291,83.01,72,7,8.14
104,Nosy Varika,MG,2021-07-24 15:42:02,-20.5833,48.5333,65.19,94,96,13.62
105,Arraial Do Cabo,BR,2021-07-24 15:33:20,-22.9661,-42.0278,78.76,53,0,13.8
106,Tombouctou,ML,2021-07-24 15:42:24,20.0,-3.0,108.84,15,4,8.28
107,Thompson,CA,2021-07-24 15:33:09,55.7435,-97.8558,62.76,77,90,11.5
108,Belmonte,BR,2021-07-24 15:42:24,-15.8631,-38.8828,80.6,57,97,12.68
109,Hermanus,ZA,2021-07-24 15:32:26,-34.4187,19.2345,55.44,58,75,1.21
110,Chegdomyn,RU,2021-07-24 15:42:25,51.1167,133.0167,69.49,69,100,3.06
111,Bethel,US,2021-07-24 15:33:17,41.3712,-73.414,81.16,55,1,1.01
112,Cherskiy,RU,2021-07-24 15:30:27,68.75,161.3,38.89,86,74,3.22
113,Stornoway,GB,2021-07-24 15:42:26,58.2093,-6.3865,67.93,82,75,9.22
114,Hofn,IS,2021-07-24 15:33:44,64.2539,-15.2082,53.56,99,100,13.51
115,Clyde River,CA,2021-07-24 15:32:33,70.4692,-68.5914,35.83,93,90,12.66
116,Palu,ID,2021-07-24 15:42:27,-0.8917,119.8707,76.23,96,99,3.06
117,Bredasdorp,ZA,2021-07-24 15:33:25,-34.5322,20.0403,60.12,59,52,8.05
118,Zyryanka,RU,2021-07-24 15:34:19,65.75,150.85,61.75,55,100,4.12
119,Barrow,US,2021-07-24 15:30:01,71.2906,-156.7887,39.22,93,90,0.0
120,Maumere,ID,2021-07-24 15:42:28,-8.6199,122.2111,75.56,71,16,6.11
121,Hollins,US,2021-07-24 15:42:28,37.3413,-79.9431,86.88,68,20,3.44
122,Melfi,IT,2021-07-24 15:42:29,40.9965,15.6514,95.49,25,1,10.89
123,Sur,OM,2021-07-24 15:42:29,22.5667,59.5289,93.65,54,79,10.51
124,Port Blair,IN,2021-07-24 15:42:30,11.6667,92.75,82.45,84,100,22.01
125,Chara,RU,2021-07-24 15:42:30,56.9064,118.2631,57.54,94,100,2.95
126,Airai,TL,2021-07-24 15:41:58,-8.9266,125.4092,56.61,42,24,3.04
127,Bengkulu,ID,2021-07-24 15:33:03,-3.8004,102.2655,77.45,84,9,6.55
128,Vardo,NO,2021-07-24 15:42:31,70.3705,31.1107,46.29,80,96,27.92
129,Kirya,TZ,2021-07-24 15:42:31,-3.9167,37.4833,76.15,43,37,21.88
130,Terekli-Mekteb,RU,2021-07-24 15:42:32,44.1671,45.8698,86.9,36,58,15.05
131,Nizwa,OM,2021-07-24 15:42:32,22.9333,57.5333,95.43,36,70,8.01
132,Vaini,TO,2021-07-24 15:33:15,-21.2,-175.2,69.96,100,20,1.14
133,Mponela,MW,2021-07-24 15:42:33,-13.5319,33.7401,58.05,65,80,7.11
134,Naze,JP,2021-07-24 15:42:33,28.3667,129.4833,77.67,92,100,22.41
135,Jinsha,CN,2021-07-24 15:42:34,32.0898,121.0735,80.98,89,100,18.86
136,Matara,LK,2021-07-24 15:38:20,5.9485,80.5353,77.36,91,86,7.47
137,Iralaya,HN,2021-07-24 15:42:34,15.0,-83.2333,84.29,70,100,11.52
138,Dasoguz,TM,2021-07-24 15:42:34,41.8363,59.9666,102.15,17,0,4.61
139,Litovko,RU,2021-07-24 15:42:35,49.2361,135.1742,76.21,68,11,3.69
140,Alyangula,AU,2021-07-24 15:42:35,-13.8483,136.4192,73.27,100,75,6.91
141,East London,ZA,2021-07-24 15:31:57,-33.0153,27.9116,58.14,72,0,16.11
142,Ginda,IN,2021-07-24 15:42:36,30.6945,78.4932,69.73,94,86,0.96
143,Olafsvik,IS,2021-07-24 15:33:53,64.8945,-23.7142,50.58,94,99,11.39
144,Orange Cove,US,2021-07-24 15:41:29,36.6244,-119.3137,93.45,38,1,6.91
145,Georgetown,MY,2021-07-24 15:33:40,5.4112,100.3354,84.88,79,20,1.01
